# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chr14	106331860	106612289	-	hsa_circ_0033841	280429	279731	Gm12878	NA	ALT_ACCEPTOR, ALT_DONOR, downstream_end, ncRNA, OVERLAPTX, OVEXON, upstream_start	NR_002224	ADAM6	Salzman2013
chr16	30715384	30724698	+	hsa_circ_0039082	9314	2246	Gm12878, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006662	SRCAP	Salzman2013
chr19	17384915	17384994	+	hsa_circ_0049971	79	79	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001033549	BABAM1	Salzman2013
chr10	104160703	104161275	+	hsa_circ_0019721	572	325	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001077494	NFKB2	Salzman2013
chr12	99059330	99080651	+	hsa_circ_0027833	21321	1349	K562, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_181861	APAF1	Salzman2013
chr6	75806968	75827262	-	hsa_circ_0077029	20294	1223	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004370	COL12A1	Salzman2013
chr11	65393122	65394250	+	hsa_circ_0022881	1128	969	Helas3	NA	ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	NM_032223	PCNXL3	Salzman2013
chr4	6925099	6969151	+	hsa_circ_0069101	44052	860	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_020773	TBC1D14	Salzman2013
chr5	34024013	34035863	-	hsa_circ_0072130	11850	497	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_181435	C1QTNF3	Salzman2013
chr7	65579804	65595235	+	hsa_circ_0080338	15431	312	Huvec, Helas3, H1hesc, Mcf7	SINE	ANNOTATED, ncRNA, OVCODE, OVERLAPTX, OVEXON	NR_024548	CRCP	Salzman2013
chr3	129009521	129017378	+	hsa_circ_0067287	7857	308	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001006109	C3orf37	Salzman2013
chr14	89747293	89878834	-	hsa_circ_0032889	131541	759	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_005197	FOXN3	Salzman2013
chr1	12290112	12313883	+	hsa_circ_0009947	23771	810	Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_015378	VPS13D	Salzman2013
chr2	11696579	11702708	+	hsa_circ_0052651	6129	438	Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_014668	GREB1	Salzman2013
chr1	22168031	22188608	-	hsa_circ_0010663	20577	4588	Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005529	HSPG2	Salzman2013
chr10	7239509	7247890	-	hsa_circ_0017617	8381	368	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001029880	SFMBT2	Salzman2013
chr19	36592565	36592676	+	hsa_circ_0050720	111	111	Bj	SINE	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001083961	WDR62	Salzman2013
chr14	50069087	50069186	+	hsa_circ_0031777	99	99	K562	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVEXON	NR_037792	LRR1	Salzman2013
chr17	1648468	1656084	+	hsa_circ_0041331	7616	1000	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000934	SERPINF2	Salzman2013
chr17	34854109	34864974	-	hsa_circ_0043149	10865	1600	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001163735	MYO19	Salzman2013
chrX	118967988	118985564	-	hsa_circ_0091423	17576	2041	K562, Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_080632	UPF3B	Salzman2013
chr7	47474879	47479256	-	hsa_circ_0080180	4377	346	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_022748	TNS3	Salzman2013
chr20	47587656	47589821	+	hsa_circ_0060697	2165	475	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006420	ARFGEF2	Salzman2013
chrX	153735736	153736928	-	hsa_circ_0092098	1192	319	Hepg2	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVEXON	NR_033237	FAM3A	Salzman2013
chr1	6291961	6295034	-	hsa_circ_0009491	3073	477	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_012405	ICMT	Salzman2013
chr11	65384720	65388437	+	hsa_circ_0022857	3717	1894	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032223	PCNXL3	Salzman2013
chr15	89811629	89817535	+	hsa_circ_0036705	5906	357	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001113378	FANCI	Salzman2013
chr7	138768525	138774505	-	hsa_circ_0082633	5980	389	Nhek, K562, Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020119	ZC3HAV1	Salzman2013
chr8	121705931	121706148	-	hsa_circ_0085427	217	217	Hepg2, Helas3, Gm12878, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_021021	SNTB1	Salzman2013
chr12	53410256	53413810	+	hsa_circ_0004972	3554	464	Hs68_RNase, Hs68_control, K562, Ag04450, A549	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001417	EIF4B	Jeck2013, Salzman2013
chr2	178370233	178388533	+	hsa_circ_0057183	18300	380	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003659	AGPS	Salzman2013
chr8	146279403	146281416	+	hsa_circ_0086182	2013	2013	Huvec, Hepg2, Ag04450, Sknshra	LTR	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_023080	C8orf33	Salzman2013
chr16	29466718	29469336	+	hsa_circ_0038902	2618	2618	Ag04450	NA	INTERGENIC	None	None	Salzman2013
chr2	43778927	43779064	-	hsa_circ_0054317	137	137	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001083953	THADA	Salzman2013
chr7	14712553	14741355	-	hsa_circ_0079473	28802	668	H1hesc, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_004080	DGKB	Salzman2013
chr19	46124464	46124590	-	hsa_circ_0051522	126	126	Bj, Nhlf	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001193268	EML2	Salzman2013
chr15	44813508	44819429	+	hsa_circ_0035068	5921	3219	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_016396	CTDSPL2	Salzman2013
chr15	28478291	28508315	-	hsa_circ_0034243	30024	2805	Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_004667	HERC2	Salzman2013
chr11	65111215	65111308	+	hsa_circ_0022821	93	93	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006268	DPF2	Salzman2013
chrX	153761790	153762375	-	hsa_circ_0092122	585	220	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000402	G6PD	Salzman2013
chr4	74010461	74017241	-	hsa_circ_0069962	6780	723	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_032217	ANKRD17	Salzman2013
chr1	19501447	19504237	-	hsa_circ_0010366	2790	499	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020765	UBR4	Salzman2013
chr22	38043273	38062939	+	hsa_circ_0063220	19666	12318	K562, Hepg2, Helas3, H1hesc, Gm12878	NA	ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_018957	SH3BP1	Salzman2013
chr12	54789044	54796834	-	hsa_circ_0026735	7790	2268	K562, Huvec, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_002205	ITGA5	Salzman2013
chr15	43689411	43696750	+	hsa_circ_0034968	7339	817	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_014444	TUBGCP4	Salzman2013
chrY	1455044	1455652	-	hsa_circ_0092198	608	608	K562, Huvec	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001636	SLC25A6	Salzman2013
chr19	3651823	3667351	-	hsa_circ_0048504	15528	1033	Hepg2, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_012398	PIP5K1C	Salzman2013
chrX	153581139	153583079	-	hsa_circ_0091898	1940	1162	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001110556	FLNA	Salzman2013
chr13	32835752	32841496	+	hsa_circ_0029926	5744	720	Bj, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_023037	FRY	Salzman2013
chr18	13278103	13293065	+	hsa_circ_0000833	14962	14962	cd_19	None	ALT_DONOR, coding, INTERNAL, intronic, UTR5	NM_181481	C18orf1	Memczak2013
chr4	38022211	38029500	+	hsa_circ_0001401	7289	330	cd_34	None	ANNOTATED, CDS, coding, INTERNAL	NM_015173	TBC1D1	Memczak2013
chr20	52192265	52199707	-	hsa_circ_0060918	7442	3379	Helas3, H1hesc, Sknshra, Mcf7	NA	ALT_ACCEPTOR, CDS, coding, OVCODE, OVERLAPTX, OVEXON, upstream_start, UTR5	NM_006526	ZNF217	Salzman2013
chr15	88483853	88690634	-	hsa_circ_0036658	206781	1321	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001012338	NTRK3	Salzman2013
chr13	42245081	42264411	-	hsa_circ_0030082	19330	745	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015058	KIAA0564	Salzman2013
chr8	131128923	131370389	-	hsa_circ_0085585	241466	2005	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001247996	ASAP1	Salzman2013
chr5	134388143	134673703	+	hsa_circ_0074029	285560	284486	Bj	NA	ALT_ACCEPTOR, ALT_DONOR, downstream_end, ncRNA, OVCODE, OVERLAPTX, OVEXON, upstream_start	TCONS_00010097	TCONS_00010097	Salzman2013
chr13	113783765	113803843	+	hsa_circ_0030977	20078	1409	Hepg2	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_000504	F10	Salzman2013
chr12	113822655	113827458	+	hsa_circ_0028525	4803	1679	Bj, A549	Simple_repeat	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_173542	PLBD2	Salzman2013
chr4	79199808	79258971	+	hsa_circ_0070121	59163	1441	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_025074	FRAS1	Salzman2013
chr3	38414145	38418482	+	hsa_circ_0064882	4337	429	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005108	XYLB	Salzman2013
chr9	7011697	7128236	+	hsa_circ_0086340	116539	995	Hsmm, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015061	KDM4C	Salzman2013
chr19	19010322	19014232	-	hsa_circ_0050168	3910	513	Hepg2, Gm12878, Bj, Nhek, Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_007263	COPE	Salzman2013
chr10	15831245	15858914	-	hsa_circ_0017846	27669	227	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_024948	FAM188A	Salzman2013
chr10	52086964	52226692	-	hsa_circ_0018399	139728	1238	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_147156	SGMS1	Salzman2013
chr5	9062998	9238002	-	hsa_circ_0071805	175004	2248	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_003966	SEMA5A	Salzman2013
chr11	65338861	65339239	+	hsa_circ_0022839	378	378	Hsmm, Hepg2, Bj, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_006396	SSSCA1	Salzman2013
chr10	101996841	101997041	-	hsa_circ_0092358	200	200	H9	NA	ALT_ACCEPTOR, ALT_DONOR, downstream_end, ncRNA, OVEXON	NR_002954	SNORA12	Zhang2013
chr1	1747194	1747301	-	hsa_circ_0009359	107	107	Bj, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002074	GNB1	Salzman2013
chrY	2293237	2369015	-	hsa_circ_0092213	75778	266	Bj	Low_complexity	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_145177	DHRSX	Salzman2013
chr8	109226835	109241424	-	hsa_circ_0085321	14589	590	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001568	EIF3E	Salzman2013
chr6	7240670	7240835	+	hsa_circ_0075563	165	165	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001003699	RREB1	Salzman2013
chr9	6477621	6482099	+	hsa_circ_0007816	4478	419	Hs68_RNase, Hs68_control, Huvec, Hepg2, Helas3, Gm12878, Ag04450, A549, Nhek, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_152896	UHRF2	Jeck2013, Salzman2013
chr1	90015473	90034052	+	hsa_circ_0013117	18579	173	K562	LINE	ANNOTATED, coding, INTERNAL, OVEXON, UTR5	NM_001134476	LRRC8B	Salzman2013
chr9	91003296	91063904	+	hsa_circ_0087423	60608	416	Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_006717	SPIN1	Salzman2013
chr1	19483260	19500115	-	hsa_circ_0010332	16855	2937	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_020765	UBR4	Salzman2013
chr8	37692691	37695457	+	hsa_circ_0007884	2766	651	Hs68_RNase, Hs68_control	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032777	GPR124	Jeck2013
chr3	185638891	185639914	-	hsa_circ_0006840	1023	200	Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004593	TRA2B	Jeck2013, Salzman2013
chr7	34997595	35013217	-	hsa_circ_0079841	15622	357	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015283	DPY19L1	Salzman2013
chr11	65387224	65392052	+	hsa_circ_0022871	4828	998	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032223	PCNXL3	Salzman2013
chr16	30087635	30093855	+	hsa_circ_0038996	6220	264	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_002720	PPP4C	Salzman2013
chrX	48317921	48324480	-	hsa_circ_0090472	6559	905	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_033518	SLC38A5	Salzman2013
chr9	115013208	115024879	-	hsa_circ_0088073	11671	451	K562, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001244898	PTBP3	Salzman2013
chr19	50250645	50251726	-	hsa_circ_0051962	1081	264	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_021733	TSKS	Salzman2013
chr14	106331852	106692424	-	hsa_circ_0033769	360572	359874	Gm12878	NA	ALT_ACCEPTOR, ALT_DONOR, downstream_end, ncRNA, OVERLAPTX, OVEXON, upstream_start	NR_002224	ADAM6	Salzman2013
chr1	21571481	21585332	-	hsa_circ_0010508	13851	663	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001113347	ECE1	Salzman2013
chr8	48744374	48801783	-	hsa_circ_0084314	57409	4194	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006904	PRKDC	Salzman2013
chr5	73128162	73154044	+	hsa_circ_0003035	25882	1023	Hs68_RNase, Hs68_control	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001080479	RGNEF	Jeck2013
chr22	41721724	41735195	+	hsa_circ_0063539	13471	729	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017590	ZC3H7B	Salzman2013
chr5	272825	311517	+	hsa_circ_0071635	38692	376	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_013232	PDCD6	Salzman2013
chr11	95718694	95718806	-	hsa_circ_0024084	112	112	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032427	MAML2	Salzman2013
chr12	6645849	6647536	+	hsa_circ_0025192	1687	1079	Nhek, K562, Huvec, Hsmm, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhlf, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_002046	GAPDH	Salzman2013
chr3	184021430	184026840	+	hsa_circ_0068328	5410	1673	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_002808	PSMD2	Salzman2013
chr7	73521339	73523366	+	hsa_circ_0001715	2027	403	cd_19	SINE	ANNOTATED, CDS, coding, INTERNAL	NM_001204426	LIMK1	Memczak2013
chr15	22848874	22866800	+	hsa_circ_0034059	17926	1491	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_052903	TUBGCP5	Salzman2013
chr1	70671364	70695717	+	hsa_circ_0012927	24353	1940	Ag04450	NA	ALT_DONOR, CDS, coding, intronic, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_004768	SRSF11	Salzman2013
chr8	121408082	121437606	-	hsa_circ_0085420	29524	552	K562, H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_014078	MRPL13	Salzman2013
chr6	150045456	150057758	-	hsa_circ_0078231	12302	3153	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_198887	NUP43	Salzman2013
chr12	100433373	100466591	-	hsa_circ_0027844	33218	2868	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015054	UHRF1BP1L	Salzman2013
chr15	22853733	22870003	+	hsa_circ_0034060	16270	1556	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_052903	TUBGCP5	Salzman2013
chr16	74678259	74678633	-	hsa_circ_0040495	374	287	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018124	RFWD3	Salzman2013
chrX	128944880	128948771	-	hsa_circ_0091498	3891	491	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001008222	ZDHHC9	Salzman2013
chr4	151792496	151814301	-	hsa_circ_0071238	21805	300	K562, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001199282	LRBA	Salzman2013
chr20	45239084	45239248	-	hsa_circ_0060587	164	164	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001011554	SLC13A3	Salzman2013
chr6	56380247	56394572	-	hsa_circ_0076836	14325	1308	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015548	DST	Salzman2013
chr1	70761812	70761944	-	hsa_circ_0012941	132	132	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_030816	ANKRD13C	Salzman2013
chr5	138614015	138655190	+	hsa_circ_0074194	41175	1940	K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_199189	MATR3	Salzman2013
chr6	56496008	56501450	-	hsa_circ_0008924	5442	1178	Hs68_RNase, Hs68_control, Bj, Nhek	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015548	DST	Jeck2013, Salzman2013
chr17	79596750	79596831	-	hsa_circ_0046210	81	81	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017921	NPLOC4	Salzman2013
chr19	1089882	1089961	-	hsa_circ_0048169	79	79	Hepg2, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002695	POLR2E	Salzman2013
chr12	112747364	112752350	-	hsa_circ_0028413	4986	330	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001109662	C12orf51	Salzman2013
chr3	9475960	9483425	+	hsa_circ_0064127	7465	839	K562, Helas3	NA	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	NM_001080517	SETD5	Salzman2013
chr3	149563797	149563927	+	hsa_circ_0067715	130	130	Nhek, K562, Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_007282	RNF13	Salzman2013
chr11	72554195	72696161	-	hsa_circ_0023474	141966	1184	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_014824	FCHSD2	Salzman2013
chr5	135382023	135398376	+	hsa_circ_0074039	16353	1713	Hsmm	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000358	TGFBI	Salzman2013
chr20	43211225	43243348	+	hsa_circ_0060493	32123	496	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_181805	PKIG	Salzman2013
chr2	15629017	15679480	-	hsa_circ_0008061	50463	704	Hs68_RNase, Hs68_control, Ag04450	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015909	NBAS	Jeck2013, Salzman2013
chr9	129143342	129269320	+	hsa_circ_0088612	125978	4534	A549	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_033446	FAM125B	Salzman2013
chr5	10394193	10405789	+	hsa_circ_0071846	11596	686	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005885	MARCH6	Salzman2013
chr14	75355797	75361112	+	hsa_circ_0003957	5315	624	Hs68_RNase, Hs68_control, Nhek, H1hesc, Gm12878	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001933	DLST	Jeck2013, Salzman2013
chr14	31763096	31785155	-	hsa_circ_0031506	22059	1795	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015473	HEATR5A	Salzman2013
chr1	165648678	165652347	-	hsa_circ_0005666	3669	603	Hs68_RNase, Hs68_control, Nhek, Hepg2, Gm12878, Ag04450	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000696	ALDH9A1	Jeck2013, Salzman2013
chr12	62928624	62929489	+	hsa_circ_0027368	865	267	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015026	MON2	Salzman2013
chr12	110028575	110032986	+	hsa_circ_0028143	4411	362	Nhek, K562, Helas3, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000431	MVK	Salzman2013
chr14	24633086	24633343	+	hsa_circ_0031343	257	154	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006084	IRF9	Salzman2013
chr3	33623312	33645701	-	hsa_circ_0064769	22389	653	Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015097	CLASP2	Salzman2013
chr7	139741443	139756953	-	hsa_circ_0082687	15510	720	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_022750	PARP12	Salzman2013
chr1	160188113	160213824	-	hsa_circ_0014871	25711	1703	Gm12878	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVERLAPTX, OVEXON	NR_028103	DCAF8	Salzman2013
chr8	99215335	99234828	-	hsa_circ_0085033	19493	444	Huvec, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024759	NIPAL2	Salzman2013
chr10	104852895	104934739	-	hsa_circ_0019780	81844	1183	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_012229	NT5C2	Salzman2013
chr8	97274166	97346774	+	hsa_circ_0084969	72608	2504	Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_014754	PTDSS1	Salzman2013
chr6	57244698	57472441	+	hsa_circ_0076900	227743	771	H1hesc, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000947	PRIM2	Salzman2013
chr2	11943032	11944697	+	hsa_circ_0052677	1665	276	K562, Huvec, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_145693	LPIN1	Salzman2013
chr9	127652667	127674305	-	hsa_circ_0088524	21638	654	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002077	GOLGA1	Salzman2013
chr20	4760668	4764988	-	hsa_circ_0059353	4320	4320	Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_170774	RASSF2	Salzman2013
chr1	45478963	45479742	+	hsa_circ_0012210	779	423	Ag04450	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVEXON	NR_036510	UROD	Salzman2013
chr4	151656409	151793907	-	hsa_circ_0071178	137498	3589	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001199282	LRBA	Salzman2013
chr3	65438932	65456159	-	hsa_circ_0066456	17227	285	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015520	MAGI1	Salzman2013
chr8	103301680	103358623	-	hsa_circ_0085232	56943	4137	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015902	UBR5	Salzman2013
chrX	153576899	153586723	-	hsa_circ_0091843	9824	3663	Huvec, Hepg2, Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001110556	FLNA	Salzman2013
chr6	10935290	10942979	+	hsa_circ_0075624	7689	271	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001040274	SYCP2L	Salzman2013
